dir,numReviews,numTokens,operation,iterations,totalTimeNs
E:\webdata_datasets\all-latest,34686770,413771852,getReviewsWithToken,100,2026722200
E:\webdata_datasets\all-latest,34686770,413771852,getTokenFrequency,100,1144800
E:\webdata_datasets\1000-latest,1000,75447,getReviewsWithToken,100,57212000
E:\webdata_datasets\1000-latest,1000,75447,getTokenFrequency,100,436600
E:\webdata_datasets\music-latest,6396350,885102349,getReviewsWithToken,100,1305455300
E:\webdata_datasets\music-latest,6396350,885102349,getTokenFrequency,100,967000
E:\webdata_datasets\movies-tv-latest,7850072,1190284223,getReviewsWithToken,100,60064400
E:\webdata_datasets\movies-tv-latest,7850072,1190284223,getTokenFrequency,100,819800
E:\webdata_datasets\books-latest,12886488,1912536900,getReviewsWithToken,100,1407758500
E:\webdata_datasets\books-latest,12886488,1912536900,getTokenFrequency,100,1052100
E:\webdata_datasets\videogames-latest,463669,67803714,getReviewsWithToken,100,401057900
E:\webdata_datasets\videogames-latest,463669,67803714,getTokenFrequency,100,902400
E:\webdata_datasets\all-latest,34686770,413771852,getReviewsWithToken,100,1729501100
E:\webdata_datasets\all-latest,34686770,413771852,getTokenFrequency,100,1005600
E:\webdata_datasets\1000-latest,1000,75447,getReviewsWithToken,100,58018400
E:\webdata_datasets\1000-latest,1000,75447,getTokenFrequency,100,428700
E:\webdata_datasets\music-latest,6396350,885102349,getReviewsWithToken,100,1265273900
E:\webdata_datasets\music-latest,6396350,885102349,getTokenFrequency,100,834400
E:\webdata_datasets\movies-tv-latest,7850072,1190284223,getReviewsWithToken,100,60848900
E:\webdata_datasets\movies-tv-latest,7850072,1190284223,getTokenFrequency,100,767000
E:\webdata_datasets\books-latest,12886488,1912536900,getReviewsWithToken,100,1465109000
E:\webdata_datasets\books-latest,12886488,1912536900,getTokenFrequency,100,930200
E:\webdata_datasets\videogames-latest,463669,67803714,getReviewsWithToken,100,357556400
E:\webdata_datasets\videogames-latest,463669,67803714,getTokenFrequency,100,680900
E:\webdata_datasets\all-latest,34686770,413771852,getReviewsWithToken,100,1863216100
E:\webdata_datasets\all-latest,34686770,413771852,getTokenFrequency,100,1034700
E:\webdata_datasets\1000-latest,1000,75447,getReviewsWithToken,100,62278500
E:\webdata_datasets\1000-latest,1000,75447,getTokenFrequency,100,442500
E:\webdata_datasets\music-latest,6396350,885102349,getReviewsWithToken,100,1410312100
E:\webdata_datasets\music-latest,6396350,885102349,getTokenFrequency,100,6568800
E:\webdata_datasets\movies-tv-latest,7850072,1190284223,getReviewsWithToken,100,63730000
E:\webdata_datasets\movies-tv-latest,7850072,1190284223,getTokenFrequency,100,820200
E:\webdata_datasets\books-latest,12886488,1912536900,getReviewsWithToken,100,1404144500
E:\webdata_datasets\books-latest,12886488,1912536900,getTokenFrequency,100,1043500
E:\webdata_datasets\videogames-latest,463669,67803714,getReviewsWithToken,100,389502600
E:\webdata_datasets\videogames-latest,463669,67803714,getTokenFrequency,100,709800
E:\webdata_datasets\all-latest,34686770,413771852,getReviewsWithToken,100,1687554000
E:\webdata_datasets\all-latest,34686770,413771852,getTokenFrequency,100,1247500
E:\webdata_datasets\1000-latest,1000,75447,getReviewsWithToken,100,68528900
E:\webdata_datasets\1000-latest,1000,75447,getTokenFrequency,100,431300
E:\webdata_datasets\music-latest,6396350,885102349,getReviewsWithToken,100,1202060900
E:\webdata_datasets\music-latest,6396350,885102349,getTokenFrequency,100,1607200
E:\webdata_datasets\movies-tv-latest,7850072,1190284223,getReviewsWithToken,100,66600200
E:\webdata_datasets\movies-tv-latest,7850072,1190284223,getTokenFrequency,100,828900
E:\webdata_datasets\books-latest,12886488,1912536900,getReviewsWithToken,100,1545654500
E:\webdata_datasets\books-latest,12886488,1912536900,getTokenFrequency,100,986800
E:\webdata_datasets\videogames-latest,463669,67803714,getReviewsWithToken,100,352481100
E:\webdata_datasets\videogames-latest,463669,67803714,getTokenFrequency,100,1016800
